note	team	type	player	type_cd	team_id	player_id	name_sort	from_team	trans_date	orig_asset	final_asset	from_team_id	resolution_cd	trans_date_cd	transaction_id	conditional_sw	effective_date	orig_asset_type	resolution_date	final_asset_type	name_display_last_first	name_display_first_last
New York Yankees placed DH Alex Rodriguez on the 15-day disabled list. Strained right hamstring.	New York Yankees	Status Change	Alex Rodriguez	SC	147	121347	RODRIGUEZ, ALEX		2016-05-04T00:00:00	Player			FIN	D	264448		2016-05-04T00:00:00	PL	2016-05-04T00:00:00		Rodriguez, Alex	Alex Rodriguez
St. Louis Cardinals sent OF Tommy Pham on a rehab assignment to Memphis Redbirds.	Memphis Redbirds	Assigned	Tommy Pham	ASG	235	502054	PHAM, TOMMY	St. Louis Cardinals	2016-05-04T00:00:00	Player		138	FIN	D	264434		2016-05-04T00:00:00	PL	2016-05-04T00:00:00		Pham, Tommy	Tommy Pham
Atlanta Braves sent RF Ender Inciarte on a rehab assignment to Gwinnett Braves.	Gwinnett Braves	Assigned	Ender Inciarte	ASG	431	542255	INCIARTE, ENDER	Atlanta Braves	2016-05-04T00:00:00	Player		144	FIN	D	264382		2016-05-04T00:00:00	PL	2016-05-04T00:00:00		Inciarte, Ender	Ender Inciarte
Toronto Blue Jays sent RHP Bo Schultz on a rehab assignment to New Hampshire Fisher Cats.	New Hampshire Fisher Cats	Assigned	Bo Schultz	ASG	463	544759	SCHULTZ, BO	Toronto Blue Jays	2016-05-04T00:00:00	Player		141	FIN	D	264467		2016-05-04T00:00:00	PL	2016-05-04T00:00:00		Schultz, Bo	Bo Schultz
Cleveland Indians designated C Adam Moore for assignment.	Cleveland Indians	Designated for Assignment	Adam Moore	DES	114	446192	MOORE, ADAM		2016-05-04T00:00:00	Player			FIN	D	264426		2016-05-04T00:00:00	PL	2016-05-04T00:00:00		Moore, Adam	Adam Moore
Toronto Blue Jays optioned Matt Dominguez to Buffalo Bisons.	Buffalo Bisons	Optioned	Matt Dominguez	OPT	422	518625	DOMINGUEZ, MATT	Toronto Blue Jays	2016-05-04T00:00:00	Player		141		D	264473	N	2016-05-04T00:00:00	PL			Dominguez, Matt	Matt Dominguez
Minnesota Twins optioned Alex Meyer to Rochester Red Wings.	Rochester Red Wings	Optioned	Alex Meyer	OPT	534	543542	MEYER, ALEX	Minnesota Twins	2016-05-04T00:00:00	Player		142		D	264380	N	2016-05-04T00:00:00	PL			Meyer, Alex	Alex Meyer
Texas Rangers optioned Brett Nicholas to Round Rock Express.	Round Rock Express	Optioned	Brett Nicholas	OPT	102	592592	NICHOLAS, BRETT	Texas Rangers	2016-05-04T00:00:00	Player		140		D	264442	N	2016-05-04T00:00:00	PL			Nicholas, Brett	Brett Nicholas
Texas Rangers traded C Chris Gimenez to Cleveland Indians for cash.	Texas Rangers	Trade		TR	140			Cleveland Indians	2016-05-04T00:00:00	Cash		114		D	264425	N	2016-05-04T00:00:00	CA				
Texas Rangers traded C Chris Gimenez to Cleveland Indians for cash.	Cleveland Indians	Trade	Chris Gimenez	TR	114	460269	GIMENEZ, CHRIS	Texas Rangers	2016-05-04T00:00:00	Player		140		D	264425	N	2016-05-04T00:00:00	PL			Gimenez, Chris	Chris Gimenez
Minnesota Twins signed free agent 2B Tanner Witt to a minor league contract.	Minnesota Twins	Signed as Free Agent	Tanner Witt	SFA	142	662949	WITT, TANNER		2016-05-04T00:00:00	Player			FIN	D	264395		2016-05-04T00:00:00	PL	2016-05-04T00:00:00		Witt, Tanner	Tanner Witt
Chicago White Sox signed free agent OF Michael Suiter to a minor league contract.	Chicago White Sox	Signed as Free Agent	Michael Suiter	SFA	145	605499	SUITER, MICHAEL		2016-05-04T00:00:00	Player			FIN	D	264431		2016-05-04T00:00:00	PL	2016-05-04T00:00:00		Suiter, Michael	Michael Suiter
Minnesota Twins recalled J.R. Graham from Rochester Red Wings.	Minnesota Twins	Recalled	J.R. Graham	CU	142	543242	GRAHAM, J.R.	Rochester Red Wings	2016-05-04T00:00:00	Player		534		D	264381	N	2016-05-04T00:00:00	PL			Graham, J.R.	J.R. Graham
Toronto Blue Jays recalled LHP Chad Girodo from Buffalo Bisons.	Toronto Blue Jays	Recalled	Chad Girodo	CU	141	643325	GIRODO, CHAD	Buffalo Bisons	2016-05-04T00:00:00	Player		422		D	264463	N	2016-05-03T00:00:00	PL			Girodo, Chad	Chad Girodo
New York Yankees recalled James Pazos from Scranton/Wilkes-Barre RailRiders.	New York Yankees	Recalled	James Pazos	CU	147	572021	PAZOS, JAMES	Scranton/Wilkes-Barre RailRiders	2016-05-04T00:00:00	Player		531		D	264446	N	2016-05-04T00:00:00	PL			Pazos, James	James Pazos
Pittsburgh Pirates optioned Jason Rogers to Indianapolis Indians.	Indianapolis Indians	Optioned	Jason Rogers	OPT	484	595386	ROGERS, JASON	Pittsburgh Pirates	2016-05-05T00:00:00	Player		134		D	264474	N	2016-05-05T00:00:00	PL			Rogers, Jason	Jason Rogers
Kansas City Royals optioned Terrance Gore to Northwest Arkansas Naturals.	Northwest Arkansas Naturals	Optioned	Terrance Gore	OPT	1350	605253	GORE, TERRANCE	Kansas City Royals	2016-05-05T00:00:00	Player		118		D	264470	N	2016-05-05T00:00:00	PL			Gore, Terrance	Terrance Gore
